Page	Head_Coord	Height	Text
17	72	14.3	あーいん 〈合う〉【活】あーたん、あーらん、
17	85	10.0	あーてぃ 【例】さんみのー あーとーみ？（計
17	85	10.0	算は合っているか）。っやー ふぃさとぅ あ
17	85	10.0	ーいみ？（あなたの足と合うか）。あんだむんと
17	85	10.0	ぅ ふぃじゅる みじぇー あーらん。（油で
17	85	10.0	炒めたものと冷たい水は合わない）。【参】新し
17	85	10.0	くは「あたいん」も使う。
17	72	14.3	あーけーじゅー 〈トンボ、蜻蛉〉 【参】た
17	85	10.0	ーまー（⻤やんま）。
17	72	14.3	あーすん 〈1合わす、2混ぜる〉【活】あーちゃ
17	85	10.0	ん、あーさん、あーち 【例】すーじぐゎーをぅ
17	85	10.0	てぃ あったに っちゅぬ とぅんぢてぃちゃ
17	85	10.0	ーに ちぶる あーち たいぬ むのー がー
17	85	10.0	な なとーたん どー。（路地で急に人が跳び
17	85	10.0	出してきて頭をぶつけて二人はたんこぶができ
17	85	10.0	ていたよ）。じかん あーすん。（時間を合わせ
17	85	10.0	る）。ちら あーすん。（顔を合わせる）。っちゅ
17	85	10.0	とぅ あーすん。（人と対面させる）。うし あ
17	85	10.0	ーすん。（牛と牛を戦わす）。ありとー ちらん
17	85	10.0	 あーさらん。（彼とは顔も合わせられない）。
17	85	10.0	チャンネル あーすん。（チャンネルを合わせ
17	85	10.0	る）。あーし ぢん のーいん。（裏付きの着物
17	85	10.0	を縫う）。くりっし あーしぇー。（これで和え
17	85	10.0	なさい）。ちん あーすん。（試着する）。
17	72	14.3	あい、あいこー 〈蟻〉 【例】くゎーし 
17	85	10.0	ほーいねー、あいこーぬ あちまてぃちゃーに
17	85	10.0	 みみん くーらりーん どー。（お菓子を散
17	85	10.0	らかすと、蟻が集まってきて耳もかまれるよ）。
17	85	10.0	あいぬ むっちっんぢん ふぃなゆん どー。
17	322	10.0	（蟻が持って行くだけで減るんだよ、少しだから
17	328	10.0	といって油断は禁物）。
17	315	14.3	あか 〈（頭髪、衣服、船底の）汚れ〉 【例】か
17	328	10.0	らじ／ちんぬ あかー（＝ゆぐれー）うてぃと
17	328	10.0	ーみ？（髪／衣服の汚れは落ちているか）。あか
17	328	10.0	 くむん。（船底の汚れを汲み出す）。【参】ふぃ
17	328	10.0	んぐ（垢）、いりち（鱗、頭のふけ）。
17	315	14.3	あか 〈赤〉 【例】あかてぃーだ（夕日）、あか
17	328	10.0	じなー（十円玉）、あかぢらー（赤ら顔）、あか
17	328	10.0	んぐゎ（赤ん坊）、あかんーちゃ（赤土）、あか
17	328	10.0	まーみー（あずき）、あかな（紫蘇）、あかがー
17	328	10.0	ら（赤瓦）、あかさび（赤錆び）、あかうし（茶
17	328	10.0	色の牛）、あかぎー（赤毛）、あかばなー（ハイ
17	328	10.0	ビスカス）、あかんみ（赤嶺）。
17	329	12.0	あかむん 〈赤くなる、果実が色づく〉【活】あ
17	328	10.0	かだん、あかまん、あかでぃ 【例】マンゴーぬ
