あーいん	あーいん 〈合う〉【活】あーたん、あーらん、
あか	あか 〈（頭髪、衣服、船底の）汚れ〉 【例】か
あーけーじゅー	あーけーじゅー 〈トンボ、蜻蛉〉 【参】た
あか	あか 〈赤〉 【例】あかてぃーだ（夕日）、あか
あーすん	あーすん 〈1合わす、2混ぜる〉【活】あーちゃ
あかむん	あかむん 〈赤くなる、果実が色づく〉【活】あ
あがいん	あがいん 〈1上がる、2上達する、悪い方に優
あい、あいこー	あい、あいこー 〈蟻〉 【例】くゎーし 
あが い てぃーだ	あが い てぃーだ〈昇る太陽〉 【例】あ
あかすん	あかすん 〈開ける、明かす〉【活】あかちゃん、
あがた	あがた 〈あちら〉 【例】まーんかい うちゅ
あが やー	あが やー 〈偉い人〉 【例】うみはまてぃ
あかがいん	あかがいん 〈明るくなる〉【活】あかがたん、
あがち	あがち 〈ヤンバルクイナ〉 【例】「やんばるく
あがちゅん	あがちゅん 〈1よく働く、2はかどる〉【活】あ
あかがい	あかがい 〈灯火、明るいところ〉 【例】あ
あかがらすん	あかがらすん 〈明るくする〉【活】あかがら
あかちち	あかちち 〈夜明け、暁〉 【例】あかちちう
あがとー	あがとー 〈あんな遠く〉 【例】なちじんぐし
あぎ	あぎ 〈陸〉 【例】あぎがーみー（陸⻲）、うみが
あきーん	あきーん 〈開く〉【活】あきたん、あきらん、
あがねーいん	あがねーいん 〈節約する〉【活】あがねーた
あぎまーすん	あぎまーすん 〈せきたてる〉【活】あぎま
あがみーん	あがみーん 〈敬う〉【活】あがみたん、あが
あきま どぅし	あきま どぅし 〈新年〉 【例】くじゅん
あがらすん	あがらすん 〈揚げる〉【活】あがらちゃん、あ
あこーくろー	あこーくろー 〈夕暮れ、薄暮〉 【例】あこ
あがらすん	あがらすん 〈完成させる〉【活】あがらちゃ
あさ	あさ 〈朝〉 【例】みーぐち やくとぅ、あさ
あさ なー	あさ なー 〈朝寝坊〉 【例】ふにぬ っう
あさ んなーら	あさ んなーら 〈朝っぱら〉 【例】そーぐ
あし	あし 〈足〉 【例】あしどぅみ（入構禁止、*「ふぃさどぅみ」とは言わない）。あしふぃさ い
あさぐいん	あさぐいん 〈勝手にかき回す〉【活】あさぐ
あし てぃびち	あし てぃびち 〈足手疋（豚足の料理名）〉
あし	あし 〈汗〉 【例】あし はやー（汗かき）。あ
あしぶ	あしぶ 〈あせも〉 【例】んかしぇー あしぶ
あしがちゅん	あしがちゅん 〈あせる〉【活】あしがちゃん、
あじまー	あじまー 〈交差するところ、交差すること〉
あじけー	あじけー 〈シャコガイ〉 【例】うちなーを
あじまー むすび	あじまー むすび 〈十字結び〉 【例】ぐ
あしぶん	あしぶん 〈遊ぶ〉【活】あしだん、あしばん、
あしび	あしび 〈遊び〉 【例】びんちょーん わじ
あち ぶったらー	あち ぶったらー 〈厚着〉 【例】あんすか
あたい	あたい 〈くらい、程度〉 【例】うぬ あたえ
あたいん	あたいん 〈あたる〉【活】あたたん、あたらん、
あちかいん	あちかいん 〈1あつかう、2こき使う〉【活】あ
あちまいん	あちまいん 〈集まる〉【活】あちまたん、あ
あちゃー	あちゃー 〈明日〉 【例】あちゃーん ふぃー
